;n;label;hit;total;percent
410;14;M;21.0;29.0;0.7241379310344828
411;14;N;26.0;29.0;0.896551724137931
412;14;P;25.0;28.0;0.8928571428571429
413;14;R;22.0;24.0;0.9166666666666666
414;14;S;26.0;31.0;0.8387096774193549
415;14;T;18.0;24.0;0.75
416;14;V;27.0;34.0;0.7941176470588235
417;14;W;25.0;32.0;0.78125
418;14;X;26.0;35.0;0.7428571428571429
419;14;Z;20.0;27.0;0.7407407407407407
420;15;1;13.0;24.0;0.5416666666666666
421;15;2;16.0;26.0;0.6153846153846154
422;15;3;30.0;35.0;0.8571428571428571
423;15;4;19.0;25.0;0.76
424;15;5;20.0;24.0;0.8333333333333334
425;15;6;19.0;24.0;0.7916666666666666
426;15;7;16.0;24.0;0.6666666666666666
427;15;8;26.0;32.0;0.8125
428;15;9;17.0;22.0;0.7727272727272727
429;15;B;25.0;40.0;0.625
430;15;C;27.0;31.0;0.8709677419354839
431;15;D;22.0;26.0;0.8461538461538461
432;15;F;20.0;29.0;0.6896551724137931
433;15;G;24.0;26.0;0.9230769230769231
434;15;H;14.0;27.0;0.5185185185185185
435;15;J;20.0;28.0;0.7142857142857143
436;15;K;30.0;36.0;0.8333333333333334
437;15;L;23.0;24.0;0.9583333333333334
438;15;M;24.0;29.0;0.8275862068965517
439;15;N;37.0;42.0;0.8809523809523809
440;15;P;28.0;30.0;0.9333333333333333
441;15;R;17.0;22.0;0.7727272727272727
442;15;S;22.0;29.0;0.7586206896551724
443;15;T;22.0;32.0;0.6875
444;15;V;26.0;32.0;0.8125
445;15;W;22.0;26.0;0.8461538461538461
446;15;X;20.0;31.0;0.6451612903225806
447;15;Z;17.0;24.0;0.7083333333333334
448;16;1;29.0;38.0;0.7631578947368421
449;16;2;17.0;24.0;0.7083333333333334
450;16;3;26.0;31.0;0.8387096774193549
451;16;4;14.0;26.0;0.5384615384615384
452;16;5;19.0;22.0;0.8636363636363636
453;16;6;15.0;21.0;0.7142857142857143
454;16;7;22.0;25.0;0.88
455;16;8;18.0;25.0;0.72
456;16;9;20.0;23.0;0.8695652173913043
457;16;B;26.0;27.0;0.9629629629629629
458;16;C;29.0;32.0;0.90625
459;16;D;24.0;30.0;0.8
460;16;F;19.0;29.0;0.6551724137931034
461;16;G;27.0;28.0;0.9642857142857143
462;16;H;10.0;23.0;0.43478260869565216
463;16;J;16.0;20.0;0.8
464;16;K;27.0;34.0;0.7941176470588235
465;16;L;28.0;30.0;0.9333333333333333
466;16;M;26.0;31.0;0.8387096774193549
467;16;N;30.0;34.0;0.8823529411764706
468;16;P;27.0;30.0;0.9
469;16;R;23.0;24.0;0.9583333333333334
470;16;S;27.0;32.0;0.84375
471;16;T;23.0;30.0;0.7666666666666667
472;16;V;28.0;31.0;0.9032258064516129
473;16;W;27.0;38.0;0.7105263157894737
474;16;X;24.0;30.0;0.8
475;16;Z;26.0;32.0;0.8125
476;17;1;17.0;21.0;0.8095238095238095
477;17;2;16.0;23.0;0.6956521739130435
478;17;3;25.0;31.0;0.8064516129032258
479;17;4;16.0;32.0;0.5
480;17;5;24.0;27.0;0.8888888888888888
481;17;6;18.0;24.0;0.75
482;17;7;20.0;36.0;0.5555555555555556
483;17;8;27.0;32.0;0.84375
484;17;9;15.0;26.0;0.5769230769230769
485;17;B;25.0;32.0;0.78125
486;17;C;23.0;24.0;0.9583333333333334
487;17;D;19.0;24.0;0.7916666666666666
488;17;F;24.0;28.0;0.8571428571428571
489;17;G;27.0;30.0;0.9
490;17;H;15.0;28.0;0.5357142857142857
491;17;J;19.0;29.0;0.6551724137931034
492;17;K;24.0;32.0;0.75
493;17;L;21.0;23.0;0.9130434782608695
494;17;M;27.0;31.0;0.8709677419354839
495;17;N;26.0;30.0;0.8666666666666667
496;17;P;29.0;36.0;0.8055555555555556
497;17;R;19.0;26.0;0.7307692307692307
498;17;S;24.0;30.0;0.8
499;17;T;27.0;31.0;0.8709677419354839
500;17;V;20.0;27.0;0.7407407407407407
501;17;W;25.0;34.0;0.7352941176470589
502;17;X;17.0;27.0;0.6296296296296297
503;17;Z;19.0;26.0;0.7307692307692307
504;18;1;23.0;30.0;0.7666666666666667
505;18;2;12.0;26.0;0.46153846153846156
506;18;3;28.0;34.0;0.8235294117647058
507;18;4;16.0;27.0;0.5925925925925926
508;18;5;28.0;32.0;0.875
509;18;6;22.0;26.0;0.8461538461538461
510;18;7;16.0;30.0;0.5333333333333333
511;18;8;22.0;28.0;0.7857142857142857
512;18;9;19.0;24.0;0.7916666666666666
513;18;B;20.0;26.0;0.7692307692307693
514;18;C;24.0;29.0;0.8275862068965517
515;18;D;26.0;30.0;0.8666666666666667
516;18;F;18.0;25.0;0.72
517;18;G;28.0;31.0;0.9032258064516129
518;18;H;20.0;29.0;0.6896551724137931
519;18;J;23.0;30.0;0.7666666666666667
520;18;K;23.0;28.0;0.8214285714285714
521;18;L;25.0;30.0;0.8333333333333334
522;18;M;25.0;30.0;0.8333333333333334
523;18;N;25.0;32.0;0.78125
524;18;P;26.0;31.0;0.8387096774193549
525;18;R;20.0;25.0;0.8
526;18;S;28.0;36.0;0.7777777777777778
527;18;T;23.0;26.0;0.8846153846153846
528;18;V;15.0;22.0;0.6818181818181818
529;18;W;21.0;27.0;0.7777777777777778
530;18;X;19.0;35.0;0.5428571428571428
531;18;Z;13.0;21.0;0.6190476190476191
532;19;1;12.0;17.0;0.7058823529411765
533;19;2;17.0;24.0;0.7083333333333334
534;19;3;28.0;30.0;0.9333333333333333
535;19;4;24.0;31.0;0.7741935483870968
536;19;5;25.0;27.0;0.9259259259259259
537;19;6;17.0;22.0;0.7727272727272727
538;19;7;23.0;33.0;0.696969696969697
539;19;8;26.0;28.0;0.9285714285714286
540;19;9;21.0;27.0;0.7777777777777778
541;19;B;26.0;32.0;0.8125
542;19;C;28.0;31.0;0.9032258064516129
543;19;D;19.0;22.0;0.8636363636363636
544;19;F;19.0;23.0;0.8260869565217391
545;19;G;26.0;28.0;0.9285714285714286
546;19;H;18.0;27.0;0.6666666666666666
547;19;J;22.0;26.0;0.8461538461538461
548;19;K;28.0;38.0;0.7368421052631579
549;19;L;30.0;31.0;0.967741935483871
550;19;M;24.0;35.0;0.6857142857142857
551;19;N;31.0;38.0;0.8157894736842105
552;19;P;27.0;28.0;0.9642857142857143
553;19;R;19.0;22.0;0.8636363636363636
554;19;S;18.0;25.0;0.72
555;19;T;26.0;31.0;0.8387096774193549
556;19;V;26.0;31.0;0.8387096774193549
557;19;W;26.0;31.0;0.8387096774193549
558;19;X;28.0;33.0;0.8484848484848485
559;19;Z;26.0;29.0;0.896551724137931
560;20;1;19.0;27.0;0.7037037037037037
