;n;label;hit;total;percent
489;17;G;38.0;42.0;0.9047619047619048
490;17;H;27.0;29.0;0.9310344827586207
491;17;J;22.0;22.0;1.0
492;17;K;29.0;33.0;0.8787878787878788
493;17;L;24.0;24.0;1.0
494;17;M;24.0;24.0;1.0
495;17;N;24.0;26.0;0.9230769230769231
496;17;P;29.0;32.0;0.90625
497;17;R;25.0;29.0;0.8620689655172413
498;17;S;28.0;29.0;0.9655172413793104
499;17;T;27.0;35.0;0.7714285714285715
500;17;V;27.0;28.0;0.9642857142857143
501;17;W;33.0;33.0;1.0
502;17;X;23.0;27.0;0.8518518518518519
503;17;Z;29.0;30.0;0.9666666666666667
504;18;1;13.0;24.0;0.5416666666666666
505;18;2;23.0;25.0;0.92
506;18;3;26.0;28.0;0.9285714285714286
507;18;4;19.0;20.0;0.95
508;18;5;24.0;27.0;0.8888888888888888
509;18;6;14.0;16.0;0.875
510;18;7;23.0;27.0;0.8518518518518519
511;18;8;29.0;32.0;0.90625
512;18;9;24.0;26.0;0.9230769230769231
513;18;B;38.0;40.0;0.95
514;18;C;38.0;38.0;1.0
515;18;D;24.0;28.0;0.8571428571428571
516;18;F;26.0;29.0;0.896551724137931
517;18;G;37.0;39.0;0.9487179487179487
518;18;H;23.0;25.0;0.92
519;18;J;25.0;27.0;0.9259259259259259
520;18;K;33.0;35.0;0.9428571428571428
521;18;L;23.0;27.0;0.8518518518518519
522;18;M;30.0;32.0;0.9375
523;18;N;30.0;35.0;0.8571428571428571
524;18;P;29.0;32.0;0.90625
525;18;R;24.0;27.0;0.8888888888888888
526;18;S;27.0;27.0;1.0
527;18;T;22.0;26.0;0.8461538461538461
528;18;V;33.0;35.0;0.9428571428571428
529;18;W;27.0;27.0;1.0
530;18;X;23.0;26.0;0.8846153846153846
531;18;Z;18.0;20.0;0.9
532;19;1;20.0;30.0;0.6666666666666666
533;19;2;25.0;29.0;0.8620689655172413
534;19;3;27.0;28.0;0.9642857142857143
535;19;4;29.0;31.0;0.9354838709677419
536;19;5;26.0;27.0;0.9629629629629629
537;19;6;17.0;21.0;0.8095238095238095
538;19;7;26.0;30.0;0.8666666666666667
539;19;8;28.0;32.0;0.875
540;19;9;24.0;25.0;0.96
541;19;B;28.0;28.0;1.0
542;19;C;40.0;42.0;0.9523809523809523
543;19;D;23.0;24.0;0.9583333333333334
544;19;F;21.0;23.0;0.9130434782608695
545;19;G;29.0;29.0;1.0
546;19;H;26.0;28.0;0.9285714285714286
547;19;J;22.0;24.0;0.9166666666666666
548;19;K;29.0;31.0;0.9354838709677419
549;19;L;24.0;25.0;0.96
550;19;M;23.0;28.0;0.8214285714285714
551;19;N;31.0;33.0;0.9393939393939394
552;19;P;29.0;33.0;0.8787878787878788
553;19;R;22.0;24.0;0.9166666666666666
554;19;S;33.0;34.0;0.9705882352941176
555;19;T;25.0;33.0;0.7575757575757576
556;19;V;28.0;31.0;0.9032258064516129
557;19;W;30.0;31.0;0.967741935483871
558;19;X;19.0;19.0;1.0
559;19;Z;27.0;27.0;1.0
560;20;1;16.0;25.0;0.64
561;20;2;25.0;28.0;0.8928571428571429
562;20;3;26.0;27.0;0.9629629629629629
563;20;4;25.0;25.0;1.0
564;20;5;29.0;29.0;1.0
565;20;6;16.0;19.0;0.8421052631578947
566;20;7;24.0;26.0;0.9230769230769231
567;20;8;23.0;25.0;0.92
